P-001	Heart Stopper	Burger	4000	80	https://i.imgur.com/1kWuOu8.png	Ja
P-002	Green Banger	Burger	4000	80	https://i.imgur.com/h5bzZVg.png	Ja
P-003	Pattziller	Burger	3500	70	https://i.imgur.com/9nQKKAq.png	Ja
P-004	Caesar Salad	Snacks & Beilagen	2500	50	https://i.imgur.com/hGva9UP.png	Ja
P-005	Chicken Salad	Snacks & Beilagen	2500	50	https://i.imgur.com/r5scADu.png	Ja
P-006	Tofu Taco	Snacks & Beilagen	3000	60	https://i.imgur.com/CSFFBLl.png	Ja
P-007	Sprunk	Getränke	2600	60	https://i.imgur.com/BzfsD0u.png	Ja
P-008	Cola	Getränke	2600	60	https://i.imgur.com/oCHGPnu.png	Ja
P-009	Orange-O-Tang	Getränke	2300	50	https://i.imgur.com/zYefcE3.png	Ja
P-010	404 Meat not Found	Burger	3500	70	https://i.imgur.com/VV8pOiY.png	Ja
P-011	Miami Royal	Burger	3000	60	https://i.imgur.com/DdX5ttn.png	Ja
P-012	Veggie	Burger	3000	60	https://i.imgur.com/VV8pOiY.png	Ja
P-013	Crazy Tenders	Snacks & Beilagen	2200	40	https://i.imgur.com/3gG6N1z.png	Ja
P-014	Shot Fries	Snacks & Beilagen	1600	30	https://i.imgur.com/Llu4hia.png	Ja
P-015	Chili Beef Taco	Snacks & Beilagen	2500	50	https://i.imgur.com/nltE1cX.png	Ja
P-016	Ayran	Getränke	2000	40	https://i.imgur.com/QLcSQWA.png	Ja
P-017	ErdbeerShake	Snacks & Beilagen	1600	30	https://i.imgur.com/ke1aSro.png	Ja
P-018	Meteorite	Snacks & Beilagen	1600	30	https://i.imgur.com/sVYiZiP.png	Ja
P-019	Double Cheeseburger	Burger	2500	50	https://i.imgur.com/dKqwKND.png	Ja
P-020	Cheesie Situation	Burger	2500	50	https://i.imgur.com/nmb3MJt.png	Ja
P-021	The Prickly	Burger	2200	40	https://i.imgur.com/FJaQyst.png	Ja
P-022	Chicken Wings	Snacks & Beilagen	1600	30	https://i.imgur.com/dskrnnI.png	Ja
P-023	Crispy Chicken Filet	Snacks & Beilagen	2200	40	https://i.imgur.com/fh8R1ex.png	Ja
P-024	Chicken Taco	Snacks & Beilagen	2200	40	https://i.imgur.com/rXFWt99.png	Ja
P-025	Kaffee	Getränke	1700	30	https://i.imgur.com/02AqQCl.png	Ja
P-026	Eistee Zitrone	Getränke	2000	40	https://i.imgur.com/qPRHjJH.png	Ja
P-027	Eistee Pfirsich	Getränke	2000	40	https://i.imgur.com/9Bd2t9H.png	Ja
P-028	Köfte Burger	Burger	2200	40	https://i.imgur.com/5J2Xfid.png	Ja
P-029	Sucuk Burger	Burger	2200	40	https://i.imgur.com/9bJkiaH.png	Ja
P-030	Frühstücksburger	Burger	2000	30	https://i.imgur.com/sJ3JF0P.png	Ja
P-031	Chicken Bucket	Snacks & Beilagen	4000	80	https://i.imgur.com/GzAbOQM.png	Ja
P-032	Grilled Chicken	Snacks & Beilagen	2500	50	https://i.imgur.com/KvSESEq.png	Ja
P-033	Event Beitrag	Sonstiges	5000	0	https://i.imgur.com/powxQYq.png	Ja
P-034	Donut	Snacks & Beilagen	1500	20	https://i.imgur.com/d3nKPug.png	Ja
P-035	Lime Crime	Getränke	1500	20	https://i.imgur.com/5xGs2pJ.png	Ja
P-036	Berry Bomb	Getränke	1500	20	https://i.imgur.com/VSixhvW.png	Ja
P-778	Kickoff Special / Wachmacher	Menüs	3700	30	https://i.imgur.com/fq81OE9.png	Ja	Kaffee, Frühstücksburger
P-754	Lunch to Go Köfte	Menüs	4300	40	https://i.imgur.com/JEipf42.png	Ja	Ayran, Köfte
P-143	Lunch to Go Sucuk	Menüs	4300	40	https://i.imgur.com/bShSQN2.png	Ja	Ayran, Sucuk
P-237	Nobody	Menüs	4800	50	https://i.imgur.com/T4wL95K.png	Ja	Orange-O-Tang, Cheesie Situation
P-484	Fress Express	Menüs	5800	60	https://i.imgur.com/xkKbdJf.png	Ja	Cola, Shot Fries, Chicken Wings
P-473	All you can Handle	Menüs	7300	70	https://i.imgur.com/yevctEc.png	Ja	Lime Crime, Orange-O-Tang, Pattziller
P-320	Koma Special Pfirsich / Dickmacher	Menüs	8000	80	https://i.imgur.com/jFs4bwc.png	Ja	2x Pfirsich Eistee, Green Banger
P-247	Koma Special Zitrone / Dickmacher	Menüs	8000	80	https://i.imgur.com/as7L1k7.png	Ja	2x Eistee Zitrone, Green Banger
P-941	Full Belly Deal	Menüs	8600	90	https://i.imgur.com/FW2m6mr.png	Ja	Miami Royal, Shot Fries, Sprunk, Apfelsaft
P-222	Box Dich Satt	Menüs	9600	100	https://i.imgur.com/Ovt4Ap2.png	Ja	2x Orange-O-Tang, Ceasar Salat, Double Cheesburger
